Start,StartLatitude,StartLongitude,End,EndLatitude,EndLongitude,Distance
Arad,46.1866,21.3123,Zerind,46.6225,21.5174,75
Arad,46.1866,21.3123,Sibiu,45.7983,24.1256,140
Arad,46.1866,21.3123,Timisoara,45.7537,21.2257,118
Zerind,46.6225,21.5174,Arad,46.1866,21.3123,75
Zerind,46.6225,21.5174,Oradea,47.0465,21.9189,71
Oradea,47.0465,21.9189,Zerind,46.6225,21.5174,71
Oradea,47.0465,21.9189,Sibiu,45.7983,24.1256,151
Sibiu,45.7983,24.1256,Oradea,47.0465,21.9189,151
Sibiu,45.7983,24.1256,Arad,46.1866,21.3123,140
Sibiu,45.7983,24.1256,Rimnicu Vilcea,45.1033,24.3756,80
Sibiu,45.7983,24.1256,Fagaras,45.8416,24.9731,99
Timisoara,45.7537,21.2257,Lugoj,45.6885,21.9031,111
Timisoara,45.7537,21.2257,Arad,46.1866,21.3123,118
Lugoj,45.6885,21.9031,Timisoara,45.7537,21.2257,111
Lugoj,45.6885,21.9031,Mehadia,44.9041,22.3661,70
Mehadia,44.9041,22.3661,Lugoj,45.6885,21.9031,70
Mehadia,44.9041,22.3661,Drobeta-Turnu Severin,44.6369,22.6597,75
Drobeta-Turnu Severin,44.6369,22.6597,Craiova,44.3302,23.7949,120
Drobeta-Turnu Severin,44.6369,22.6597,Mehadia,44.9041,22.3661,75
Craiova,44.3302,23.7949,Drobeta-Turnu Severin,44.6369,22.6597,120
Craiova,44.3302,23.7949,Rimnicu Vilcea,45.1033,24.3756,146
Craiova,44.3302,23.7949,Pitesti,44.8606,24.8679,138
Rimnicu Vilcea,45.1033,24.3756,Pitesti,44.8606,24.8679,97
Rimnicu Vilcea,45.1033,24.3756,Craiova,44.3302,23.7949,146
Rimnicu Vilcea,45.1033,24.3756,Sibiu,45.7983,24.1256,80
Pitesti,44.8606,24.8679,Rimnicu Vilcea,45.1033,24.3756,97
Pitesti,44.8606,24.8679,Craiova,44.3302,23.7949,138
Pitesti,44.8606,24.8679,Bucharest,44.4268,26.1025,101
Fagaras,45.8416,24.9731,Sibiu,45.7983,24.1256,99
Fagaras,45.8416,24.9731,Bucharest,44.4268,26.1025,211
Bucharest,44.4268,26.1025,Fagaras,45.8416,24.9731,211
Bucharest,44.4268,26.1025,Pitesti,44.8606,24.8679,101
Bucharest,44.4268,26.1025,Giurgiu,43.9037,25.9699,90
Bucharest,44.4268,26.1025,Urziceni,44.7181,26.6411,85
Giurgiu,43.9037,25.9699,Bucharest,44.4268,26.1025,90
Urziceni,44.7181,26.6411,Bucharest,44.4268,26.1025,85
Urziceni,44.7181,26.6411,Hirsova,44.6893,27.9456,98
Urziceni,44.7181,26.6411,Vaslui,46.6407,27.7276,142
Hirsova,44.6893,27.9456,Eforie,44.0584,28.6336,86
Hirsova,44.6893,27.9456,Urziceni,44.7181,26.6411,98
Eforie,44.0584,28.6336,Hirsova,44.6893,27.9456,86
Vaslui,46.6407,27.7276,Urziceni,44.7181,26.6411,142
Vaslui,46.6407,27.7276,Iasi,47.1585,27.6014,92
Iasi,47.1585,27.6014,Vaslui,46.6407,27.7276,142
Iasi,47.1585,27.6014,Neamt,46.9759,26.3816,87
Neamt,46.9759,26.3816,Iasi,47.1585,27.6014,87
