Start,StartLatitude,StartLongitude,End,EndLatitude,EndLongitude,Distance
New York,40.7128,-74.0060,Boston,42.3601,-71.0589,215
New York,40.7128,-74.0060,Chicago,41.8781,-87.6298,790
New York,40.7128,-74.0060,Miami,25.7617,-80.1918,1305
Boston,42.3601,-71.0589,Chicago,41.8781,-87.6298,983
Boston,42.3601,-71.0589,San Francisco,37.7749,-122.4194,2704
Chicago,41.8781,-87.6298,Denver,39.7392,-104.9903,1003
Chicago,41.8781,-87.6298,San Francisco,37.7749,-122.4194,2134
Denver,39.7392,-104.9903,Los Angeles,34.0522,-118.2437,1015
Denver,39.7392,-104.9903,Seattle,47.6062,-122.3321,1307
San Francisco,37.7749,-122.4194,Los Angeles,34.0522,-118.2437,381
Los Angeles,34.0522,-118.2437,Seattle,47.6062,-122.3321,1151
Los Angeles,34.0522,-118.2437,Miami,25.7617,-80.1918,2734
Miami,25.7617,-80.1918,Houston,29.7604,-95.3698,1183
Houston,29.7604,-95.3698,New Orleans,29.9511,-90.0715,348
New Orleans,29.9511,-90.0715,Miami,25.7617,-80.1918,732
Houston,29.7604,-95.3698,Chicago,41.8781,-87.6298,1085
Miami,25.7617,-80.1918,Atlanta,33.7490,-84.3880,661
Atlanta,33.7490,-84.3880,New York,40.7128,-74.0060,936
New Orleans,29.9511,-90.0715,Atlanta,33.7490,-84.3880,462
Seattle,47.6062,-122.3321,Chicago,41.8781,-87.6298,2064
Seattle,47.6062,-122.3321,Miami,25.7617,-80.1918,3258
San Francisco,37.7749,-122.4194,Seattle,47.6062,-122.3321,808

